"country","countryCode","date","filterByKeyword","filterByRating","input","isAmazonVine","isVerified","position","product/listPrice","product/price","productAsin","productOriginalAsin","ratingScore","reviewCategoryUrl","reviewDescription","reviewId","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewImages/6","reviewImages/7","reviewImages/8","reviewReaction","reviewTitle","reviewUrl","reviewedIn","totalCategoryRatings","totalCategoryReviews","userId","userProfileLink","variant","variantAsin","variantAttributes"
,,,,,"https://www.amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=srd_d_vsims_d_sccl_2_3/260-1408972-6883810?pd_rd_w=Gc4vK&content-id=amzn1.sym.7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_p=7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_r=12A8W8TP34EQMP2JP7BV&pd_rd_wg=wagNn&pd_rd_r=130e489b-c2dc-41e6-a4bb-e1d4cb847e45&pd_rd_i=B01HJI0FS2&psc=1",,"true","10",,,"B01HJI0FS2","B01HJI0FS2","4",,"I used this product for 6 months it worked fine but after that scroll button started not working correctlyBut because of warranty I call the warranty customer care of Dell and they replaced the product and delivered to my house","R1CKRB5SINH2OV","https://m.media-amazon.com/images/I/71Rp7-onfFL.jpg",,,,,,,,,,"Product is good with 3years warranty","https://www.amazon.in/customer-reviews/R1CKRB5SINH2OV",,,,"amzn1.account.AE4MBHOQ2S3TRKF2PSAMC2ELODAA","https://www.amazon.in/gp/profile/amzn1.account.AE4MBHOQ2S3TRKF2PSAMC2ELODAA",,"B01HJI0FS2",
,,,,,"https://www.amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=srd_d_vsims_d_sccl_2_3/260-1408972-6883810?pd_rd_w=Gc4vK&content-id=amzn1.sym.7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_p=7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_r=12A8W8TP34EQMP2JP7BV&pd_rd_wg=wagNn&pd_rd_r=130e489b-c2dc-41e6-a4bb-e1d4cb847e45&pd_rd_i=B01HJI0FS2&psc=1",,"true","11",,,"B01HJI0FS2","B01HJI0FS2","5",," ","RD3H0Q6X65H9P","https://m.media-amazon.com/images/I/81Zeo3-i6EL.jpg",,,,,,,,,,"Its value for money basic mouse","https://www.amazon.in/customer-reviews/RD3H0Q6X65H9P",,,,"amzn1.account.AEUKQ2WIRBRQVDBFJU5JWQYWKOJA","https://www.amazon.in/gp/profile/amzn1.account.AEUKQ2WIRBRQVDBFJU5JWQYWKOJA",,"B01HJI0FS2",
,,,,,"https://www.amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=srd_d_vsims_d_sccl_2_3/260-1408972-6883810?pd_rd_w=Gc4vK&content-id=amzn1.sym.7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_p=7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_r=12A8W8TP34EQMP2JP7BV&pd_rd_wg=wagNn&pd_rd_r=130e489b-c2dc-41e6-a4bb-e1d4cb847e45&pd_rd_i=B01HJI0FS2&psc=1",,"true","12",,,"B01HJI0FS2","B01HJI0FS2","4",,"Genuine product, but warranty not being provided.","R1KSXCW6QQWPH4","https://m.media-amazon.com/images/I/61e2JRP-zgL.jpg",,,,,,,,,,"Authentic","https://www.amazon.in/customer-reviews/R1KSXCW6QQWPH4",,,,"amzn1.account.AHEG7JRZGVZFFTQWKKLFVQYMFWWQ","https://www.amazon.in/gp/profile/amzn1.account.AHEG7JRZGVZFFTQWKKLFVQYMFWWQ",,"B01HJI0FS2",
,,,,,"https://www.amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=srd_d_vsims_d_sccl_2_3/260-1408972-6883810?pd_rd_w=Gc4vK&content-id=amzn1.sym.7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_p=7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_r=12A8W8TP34EQMP2JP7BV&pd_rd_wg=wagNn&pd_rd_r=130e489b-c2dc-41e6-a4bb-e1d4cb847e45&pd_rd_i=B01HJI0FS2&psc=1",,"true","13",,,"B01HJI0FS2","B01HJI0FS2","5",,"I am writing the review for Dell mouse model no. MS116, after using this for almost 3 years. I bought this on 2nd May 2019, and this review has been written on 17th April 2021. I chose to write it's review because it is finally at the end of its life, atleast its left click is. Although it is still functional, its left click started 'double clicking' last week. I mention its pros and cons below:Pros:1) This mouse lasted for a long time. Three years is a very good lifetime for a general purpose Mouse.2) I purchased it at a fairly low price. And even today it is available at a low cost.3) I have used it frequently, and for all kinds of work, whether editing 'MS word', googling,  image editing, gaming. It works wonderfully. It never failed. I have played all kinds of games with it. Although not meant for professional gaming. I can safely say that it should work with almost all games.4) It is comfortable to hold, though people with very small hand may find it difficult to reach the ends of the buttons. It can be used by almost everyone. It does not have any sharp edges or corners.5) Works on most surfaces.6) Length of wire attached is ample. It is about 1.5 meters.7) Outer material is made of good quality plastic with Matte finish.8) It stays mostly clean, however if your hands sweat frequently,  then you may want to clean it once in a while,  otherwise dirt and grit from your hand can accumulate in it over time.Cons:1) The size of my hand is that of an average Indian man. So, I find it comfortable to use. But people with small hands may find the backside to be somewhat larger, especially if you are in the habit of resting your wrist on the table behind the mouse. In that particular case, you may find that you are not entirely able to reach the end of the buttons,  though they would still be clickable. This can make some people uncomfortable initially but with use one can adapt to it.2) Unlike gaming mouse it does not have extra buttons,  to adjust dpi or Mouse speed.Overall, it is simple, beautiful and economical mouse. I will buy it again.","R23CUHND5I0SOE","https://m.media-amazon.com/images/I/B179N7mU8iS.jpg",,,,,,,,,,"Review after 3 years of use","https://www.amazon.in/customer-reviews/R23CUHND5I0SOE",,,,"amzn1.account.AHH2QGPA4WVD55O7OMQRETY3OXJQ","https://www.amazon.in/gp/profile/amzn1.account.AHH2QGPA4WVD55O7OMQRETY3OXJQ",,"B01HJI0FS2",
,,,,,"https://www.amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=srd_d_vsims_d_sccl_2_3/260-1408972-6883810?pd_rd_w=Gc4vK&content-id=amzn1.sym.7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_p=7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_r=12A8W8TP34EQMP2JP7BV&pd_rd_wg=wagNn&pd_rd_r=130e489b-c2dc-41e6-a4bb-e1d4cb847e45&pd_rd_i=B01HJI0FS2&psc=1",,"true","14",,,"B01HJI0FS2","B01HJI0FS2","5",,"Brought this mouse back in 2022, the build quality feels sturdy and not flimsy unlike many cheap mice. Sensor works fine i casually played valorant and minecraft and didn't face any issues. People are able to double click and drag click on this mouse but i was never able to do so. Overall a great product at a great price from a reputed brand.","R3MZ4JMWSSGHSJ","https://m.media-amazon.com/images/I/61l6CP3vSeL.jpg",,,,,,,,,,"Reliable and affordable","https://www.amazon.in/customer-reviews/R3MZ4JMWSSGHSJ",,,,"amzn1.account.AHFJQV52L6UK6U6DRH6JN6VWWIEA","https://www.amazon.in/gp/profile/amzn1.account.AHFJQV52L6UK6U6DRH6JN6VWWIEA",,"B01HJI0FS2",
,,,,,"https://www.amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=srd_d_vsims_d_sccl_2_3/260-1408972-6883810?pd_rd_w=Gc4vK&content-id=amzn1.sym.7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_p=7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_r=12A8W8TP34EQMP2JP7BV&pd_rd_wg=wagNn&pd_rd_r=130e489b-c2dc-41e6-a4bb-e1d4cb847e45&pd_rd_i=B01HJI0FS2&psc=1",,"true","15",,,"B01HJI0FS2","B01HJI0FS2","2",," ","R3INF8FXYTFXR7","https://m.media-amazon.com/images/I/712xmvHBGGL.jpg",,,,,,,,,,"Good product working but i don't like chinese products","https://www.amazon.in/customer-reviews/R3INF8FXYTFXR7",,,,"amzn1.account.AFHUV2TQ4BWNVOZGCTA4PHRDAOTA","https://www.amazon.in/gp/profile/amzn1.account.AFHUV2TQ4BWNVOZGCTA4PHRDAOTA",,"B01HJI0FS2",
,,,,,"https://www.amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=srd_d_vsims_d_sccl_2_3/260-1408972-6883810?pd_rd_w=Gc4vK&content-id=amzn1.sym.7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_p=7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_r=12A8W8TP34EQMP2JP7BV&pd_rd_wg=wagNn&pd_rd_r=130e489b-c2dc-41e6-a4bb-e1d4cb847e45&pd_rd_i=B01HJI0FS2&psc=1",,"true","16",,,"B01HJI0FS2","B01HJI0FS2","5",,"FIRST DAY IMPRESSIONS: The mouse works as expected but it's big in hand to use. For someone like me who has been using a mouse that fits completely in the palm, it's a bit uneasy. But works good.","RFKKSGUR0XRI6","https://m.media-amazon.com/images/I/61NxaCe6Z7L.jpg","https://m.media-amazon.com/images/I/61ZljVC-BqL.jpg",,,,,,,,,"Mouse works. But BIG in hand.","https://www.amazon.in/customer-reviews/RFKKSGUR0XRI6",,,,"amzn1.account.AH567SHPFLLOSX5IJLRNJXANX4KA","https://www.amazon.in/gp/profile/amzn1.account.AH567SHPFLLOSX5IJLRNJXANX4KA",,"B01HJI0FS2",
,,,,,"https://www.amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=srd_d_vsims_d_sccl_2_3/260-1408972-6883810?pd_rd_w=Gc4vK&content-id=amzn1.sym.7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_p=7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_r=12A8W8TP34EQMP2JP7BV&pd_rd_wg=wagNn&pd_rd_r=130e489b-c2dc-41e6-a4bb-e1d4cb847e45&pd_rd_i=B01HJI0FS2&psc=1",,"true","17",,,"B01HJI0FS2","B01HJI0FS2","5",,"Worth buying this wired mouse. Even though it is an old model mouse as its launched more than 7 years back . This is good now as well . I got the it delivered new one next day delivery by Amazon with prime shipping. Thanks Amazon","R1A8R3ZHT2OGH0","https://m.media-amazon.com/images/I/61sq0jCnEAL.jpg",,,,,,,,,,"Worth buying this mouse","https://www.amazon.in/customer-reviews/R1A8R3ZHT2OGH0",,,,"amzn1.account.AGZV2P6AVVYJ2UGFLPYPIWZR74ZQ","https://www.amazon.in/gp/profile/amzn1.account.AGZV2P6AVVYJ2UGFLPYPIWZR74ZQ",,"B01HJI0FS2",
,,,,,"https://www.amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=srd_d_vsims_d_sccl_2_3/260-1408972-6883810?pd_rd_w=Gc4vK&content-id=amzn1.sym.7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_p=7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_r=12A8W8TP34EQMP2JP7BV&pd_rd_wg=wagNn&pd_rd_r=130e489b-c2dc-41e6-a4bb-e1d4cb847e45&pd_rd_i=B01HJI0FS2&psc=1",,"true","18",,,"B01HJI0FS2","B01HJI0FS2","5",,"Good quality stuff at a reasonable rate.You can use it for editing and small casual working although may not be good for gaming. 👍","RD6LMM4R33ORR","https://m.media-amazon.com/images/I/71UnnmvQBrL.jpg",,,,,,,,,,"Amazing build quality","https://www.amazon.in/customer-reviews/RD6LMM4R33ORR",,,,"amzn1.account.AG2U3UVO6RVO5NT65XWQGR7V5GXA","https://www.amazon.in/gp/profile/amzn1.account.AG2U3UVO6RVO5NT65XWQGR7V5GXA",,"B01HJI0FS2",
,,,,,"https://www.amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=srd_d_vsims_d_sccl_2_3/260-1408972-6883810?pd_rd_w=Gc4vK&content-id=amzn1.sym.7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_p=7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_r=12A8W8TP34EQMP2JP7BV&pd_rd_wg=wagNn&pd_rd_r=130e489b-c2dc-41e6-a4bb-e1d4cb847e45&pd_rd_i=B01HJI0FS2&psc=1",,"true","19",,,"B01HJI0FS2","B01HJI0FS2","5",," ","R3L1WP3NA5S43V","https://m.media-amazon.com/images/I/71Z6-utLX4L.jpg",,,,,,,,,,"Works great 👍","https://www.amazon.in/customer-reviews/R3L1WP3NA5S43V",,,,"amzn1.account.AENXIODKXB6LAWCEHXTSC5QBUZPA","https://www.amazon.in/gp/profile/amzn1.account.AENXIODKXB6LAWCEHXTSC5QBUZPA",,"B01HJI0FS2",
